cow_code,iso3c,country_name,independence,colonial_history,global_south,year.x,workinjury_replacement_rate_temp_2020,workinjury_duration_temp_2020,workinjury_duration_perm_2020,unemployment_coverage,unemp_benefit_rate,unemp_benefit_duration,pension_replacement_rate_legal,pension_replacement_rate_min_effective,workinjury_cov_ilo,workinjury_cov_ilo_lf,pension_cov_ilo,pension_cov_ilo_lf,pratstws,pratmins,prtfulco,pcovratp,ucovratl,uratfuls,uratfulf,acovratl,azrr26si,azrr26fa,uzrr26si,uzrr26fa,pnerswsi,pnerswco,unemp_cov_ilo,slave_trade_all,year.y,e_autoc,v2x_polyarchy,v2x_libdem,v2x_delibdem,v2x_corr,e_gdppc,e_area,slave_trade_norm,africa,slave_trade_norm_log,workinjury_cov_ilo_lf_imp,workinjury_cov_ilo_lf_i
481,GAB,Gabon,1958,France,1,2020,100,unlimited,unlimited,0,NA,NA,40,80,38.6,79.4,38.6,79.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27403,1985,0.9,0.183,0.106,0.10033333333333334,0.868,11.015444444444444,262447.342,0.10441332646455227,1,-2.2593979635520323,75.17312631020923,79.4
420,GMB,Gambia,1965,UK,1,2020,60,6 months,unlimited,0,NA,NA,NA,NA,14.6,24.1,14.6,24.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21731,1985,0,0.461,0.32855555555555555,0.23744444444444443,0.361,2.4523333333333333,10787.14,2.014528410681608,1,0.7003851286431944,38.40264357835649,24.1
452,GHA,Ghana,1957,UK,1,2020,100,24 months,96 months,0,NA,NA,37.5,108.34,16.6,24,16.6,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1614793,1985,0.6222222222222222,0.11933333333333333,0.09733333333333333,0.058777777777777776,0.7427777777777778,2.302,240585.52,6.71192929649299,1,1.9038864352138614,30.545206192552605,24
438,GIN,Guinea,1958,France,1,2020,64,unlimited,unlimited,0,NA,NA,30,NA,9,17.1,9,17.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,350149,1985,0.7666666666666666,0.11244444444444444,0.03711111111111111,0.03488888888888889,0.7711111111111111,1.8436666666666666,246594.677,1.4199373816978216,1,0.3506127732449503,27.333346579222713,17.1
404,GNB,Guinea-Bissau,1974,Portugal,1,2020,68,unlimited,unlimited,NA,NA,NA,20,NA,16.6,29.6,16.6,29.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180752,1985,0.8333333333333334,0.094,0.04844444444444444,0.051222222222222225,0.6574444444444445,1.3708888888888888,36125,5.0035155709342565,1,1.6101407795519769,25.65224098922419,29.6
437,CIV,Côte d’Ivoire,1960,France,1,2020,66.7,variable,unlimited,0,NA,NA,25.5,50,62.8,97.5,62.8,97.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,52646,1985,0.9,0.17644444444444443,0.14255555555555555,0.06655555555555556,0.706,2.9045555555555556,323412.229,0.16278296019536106,1,-1.8153374979963426,33.8266571932514,97.5
501,KEN,Kenya,1963,UK,1,2020,50,12 months,96 months,0,NA,NA,NA,NA,3.6,4.8,69.5,94.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86448,1985,0.6888888888888889,0.18688888888888888,0.10133333333333333,0.15222222222222223,0.8924444444444445,2.171111111111111,585730.013,0.14759018332905538,1,-1.9133158776382966,33.62144282687681,4.8
570,LSO,Lesotho,1966,UK,1,2020,75,6 months,60 months,0,NA,NA,NA,NA,25.8,39.8,5.2,8.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1985,0.8333333333333333,0.12366666666666666,0.11855555555555555,0.051555555555555556,0.5763333333333334,1.371,30621.429,0,1,-10,25.666065132895593,39.8
450,LBR,Liberia,1862,None,1,2020,65,unlimited,unlimited,0,NA,NA,25,NA,15.9,20.7,15.9,20.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6790,1985,0.6333333333333333,0.15844444444444444,0.08733333333333333,0.07933333333333334,0.8697777777777778,1.6494444444444445,96634.517,0.0702647481541197,1,-2.6554850546652733,28.145640253134015,20.7
620,LBY,Libya,1951,UK,1,2020,70,12 months,unlimited,NA,NA,NA,50,80,38.4,80.7,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8848,1985,0.7,0.072,0.04744444444444444,0.027,0.8628888888888889,15.002555555555556,1741136.625,0.005081737913588487,1,-5.282101966923567,91.915939584891,80.7
580,MDG,Madagascar,1960,France,1,2020,66.7,12 months,unlimited,0,NA,NA,NA,60,9.4,11,9.4,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125275,1985,0.6,0.20400000000000001,0.09411111111111112,0.08611111111111111,0.7843333333333333,1.3946666666666667,596098.591,0.21015818841282918,1,-1.5598947536799328,27.159080067614966,11
553,MWI,Malawi,1964,UK,1,2020,75,unlimited,54 months,0,NA,NA,NA,NA,25.2,36.6,25.2,36.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125431,1985,0.9,0.16855555555555557,0.08022222222222222,0.047,0.134,1.1406666666666667,119198.864,1.0522835184066854,1,0.050962582194652294,24.34866996217577,36.6
432,MLI,Mali,1960,France,1,2020,100,unlimited,unlimited,0,NA,NA,32,200,9.4,14.2,9.4,14.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,841697,1985,0.7,0.19222222222222224,0.12533333333333332,0.07577777777777778,0.76,0.8161111111111111,1259194.501,0.6684408161976242,1,-0.40280741859925323,23.894207926917858,14.2
435,MRT,Mauritania,1960,France,1,2020,66.7,unlimited,unlimited,0,NA,NA,26.65,NA,9.9,24.1,9.9,24.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164434,1985,0.7,0.10144444444444445,0.043666666666666666,0.016666666666666666,0.7865555555555556,2.6358888888888887,1043783.427,0.157536511642659,1,-1.8480980276291523,30.51465150281959,24.1
590,MUS,Mauritius,1968,None,1,2020,NA,NA,NA,0.012,0.525,12,NA,NA,51.7,93.7,51.7,93.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,0,1985,0,0.709,0.6075555555555555,0.649888888888889,0.543,7.937444444444445,2155.897,0,1,-10,81.88107076446049,93.7
600,MAR,Morocco,1956,France,1,2020,67,unlimited,unlimited,NA,0.369272941,6,NA,NA,3.8,8.6,20.7,46.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1985,0.8,0.16111111111111112,0.15033333333333332,0.10355555555555555,0.768,3.9233333333333333,674614.243,0,1,-10,40.324703592823276,8.6
